policy_id,title,sector,region,year,impact_score,goals,text_for_nlp
P1250,National Vocational Education Reform 69,Higher Education,Gujarat,2021,0.594,"Train 2946 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","p1250 national vocational education reform 69 higher education gujarat train 2946 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1434,District Primary Education Reform 1,Secondary,Tamil Nadu,2020,0.825,"Train 1235 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","p1434 district primary education reform 1 secondary tamil nadu train 1235 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1020,State Secondary Education Reform 56,Early Childhood,Punjab,2025,0.555,Increase vocational skills score by 10% within 2 years and reduce disparities between rural and urban areas.,p1020 state secondary education reform 56 early childhood punjab increase vocational skills score by 10% within 2 years and reduce disparities between rural and urban areas.
P1323,National Vocational Education Reform 46,Early Childhood,Punjab,2015,0.697,Increase infrastructure score by 37% within 4 years and reduce disparities between rural and urban areas.,p1323 national vocational education reform 46 early childhood punjab increase infrastructure score by 37% within 4 years and reduce disparities between rural and urban areas.
P1333,District Early Childhood Education Reform 93,Vocational,Delhi,2024,0.211,Increase learning outcomes score by 18% within 4 years and reduce disparities between rural and urban areas.,p1333 district early childhood education reform 93 vocational delhi increase learning outcomes score by 18% within 4 years and reduce disparities between rural and urban areas.
P1057,National Higher Education Education Reform 40,Higher Education,Punjab,2024,0.144,Increase learning outcomes score by 31% within 3 years and reduce disparities between rural and urban areas.,p1057 national higher education education reform 40 higher education punjab increase learning outcomes score by 31% within 3 years and reduce disparities between rural and urban areas.
P1302,State Primary Education Reform 24,Higher Education,West Bengal,2021,0.21,"Train 3009 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","p1302 state primary education reform 24 higher education west bengal train 3009 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1230,State Early Childhood Education Reform 6,Higher Education,Rajasthan,2024,0.964,"Train 1869 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","p1230 state early childhood education reform 6 higher education rajasthan train 1869 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1332,District Vocational Education Reform 97,Vocational,Punjab,2019,0.331,"Train 97 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","p1332 district vocational education reform 97 vocational punjab train 97 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1133,District Higher Education Education Reform 22,Higher Education,Tamil Nadu,2019,0.342,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1133 district higher education education reform 22 higher education tamil nadu introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1138,National Early Childhood Education Reform 18,Vocational,Maharashtra,2024,0.311,Increase teacher quality score by 22% within 2 years and reduce disparities between rural and urban areas.,p1138 national early childhood education reform 18 vocational maharashtra increase teacher quality score by 22% within 2 years and reduce disparities between rural and urban areas.
P1424,District Vocational Education Reform 12,Primary,Tamil Nadu,2025,0.272,Increase digital access score by 17% within 5 years and reduce disparities between rural and urban areas.,p1424 district vocational education reform 12 primary tamil nadu increase digital access score by 17% within 5 years and reduce disparities between rural and urban areas.
P1336,State Vocational Education Reform 61,Primary,Gujarat,2024,0.244,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1336 state vocational education reform 61 primary gujarat introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
